CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,CIÊNCIAS BIOLÓGICAS,Licenciatura,Presencial,5,4,100,13/11/2001,Educação,Formação de professor de biologia
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,3,4,150,13/11/2001,Educação,Formação de professor de educação física
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,HISTÓRIA,Licenciatura,Presencial,-,-,125,27/09/1971,Educação,Formação de professor de história
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,Presencial,-,4,125,24/09/1971,Educação,Formação de professor de língua/literatura vernácula e língua estrangeira moderna
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,Presencial,-,4,125,27/09/1971,Educação,Formação de professor de língua/literatura vernácula e língua estrangeira moderna
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,MATEMÁTICA,Licenciatura,Presencial,5,4,125,25/09/1971,Educação,Formação de professor de matemática
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,QUÍMICA,Licenciatura,Presencial,5,3,100,13/11/2001,Educação,Formação de professor de química
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,GESTÃO AMBIENTAL,Tecnológico,Presencial,4,3,100,14/08/2006,Serviços,Gestão ambiental
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,3,3,100,03/09/2008,"Ciências sociais, negócios e direito",Gestão de pessoal / recursos humanos
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,GESTÃO DA QUALIDADE,Tecnológico,Presencial,4,4,100,03/09/2008,"Ciências sociais, negócios e direito",Gestão de qualidade
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,GESTÃO DE TURISMO,Tecnológico,Presencial,-,-,100,14/08/2006,Serviços,Gestão de Turismo
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,LOGÍSTICA,Tecnológico,Presencial,4,3,60,27/08/2009,"Ciências sociais, negócios e direito",Gestão logística
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,HOTELARIA,Tecnológico,Presencial,3,-,100,13/07/2004,Serviços,Hotelaria (tecnólogo)
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,MARKETING,Tecnológico,Presencial,4,3,100,20/08/2007,"Ciências sociais, negócios e direito",Marketing e propaganda
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,NUTRIÇÃO,Bacharelado,Presencial,3,4,50,14/08/2006,Saúde e bem estar social,Nutrição
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,PEDAGOGIA,Licenciatura,Presencial,-,3,125,27/09/1971,Educação,Pedagogia
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,GESTÃO DA PRODUÇÃO INDUSTRIAL,Tecnológico,Presencial,3,3,100,03/09/2008,"Engenharia, produção e construção",Produção industrial
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,PSICOLOGIA,Bacharelado,Presencial,3,-,60,27/11/2017,"Ciências sociais, negócios e direito",Psicologia
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,QUÍMICA,Bacharelado,Presencial,4,3,100,02/08/2007,"Ciências, matemática e computação",Química
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,SEGURANÇA NO TRABALHO,Tecnológico,Presencial,3,-,100,03/09/2008,Serviços,Saúde e segurança no trabalho
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,SERVIÇO SOCIAL,Bacharelado,Presencial,4,4,100,14/08/2006,Saúde e bem estar social,Serviço social
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,MECATRÔNICA INDUSTRIAL,Tecnológico,Presencial,4,-,100,30/04/2013,"Engenharia, produção e construção",Tecnologia mecatrônica
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,TERAPIA OCUPACIONAL,Bacharelado,Presencial,-,-,100,14/08/2006,Saúde e bem estar social,Terapia ocupacional
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,ADMINISTRAÇÃO,Bacharelado,Presencial,-,3,160,20/02/2002,"Ciências sociais, negócios e direito",Administração
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,ADMINISTRAÇÃO,Bacharelado,Presencial,-,3,200,13/01/1994,"Ciências sociais, negócios e direito",Administração
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,700,13/11/2015,"Ciências sociais, negócios e direito",Administração
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,AGRONOMIA,Bacharelado,Presencial,-,-,210,01/09/2014,Agricultura e veterinária,Agronomia
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,ARQUITETURA E URBANISMO,Bacharelado,Presencial,-,-,210,01/09/2014,"Engenharia, produção e construção",Arquitetura e urbanismo
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Presencial,-,-,500,13/11/2015,"Ciências, matemática e computação",Ciência da computação
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Presencial,5,2,160,02/03/1999,"Ciências, matemática e computação",Ciência da computação
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,-,3,80,13/01/1994,"Ciências sociais, negócios e direito",Ciências contábeis
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,-,-,800,13/11/2015,"Ciências sociais, negócios e direito",Ciências contábeis
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,DIREITO,Bacharelado,Presencial,4,3,136,04/08/1994,"Ciências sociais, negócios e direito",Direito
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,DIREITO,Bacharelado,Presencial,4,-,150,31/07/2018,"Ciências sociais, negócios e direito",Direito
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,-,-,500,13/11/2015,Saúde e bem estar social,Educação física
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,4,2,160,13/06/2001,Saúde e bem estar social,Educação física
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,ENFERMAGEM,Bacharelado,Presencial,4,3,160,14/05/2002,Saúde e bem estar social,Enfermagem
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,ENFERMAGEM,Bacharelado,Presencial,-,-,160,13/11/2015,Saúde e bem estar social,Enfermagem
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,ENGENHARIA CIVIL,Bacharelado,Presencial,-,-,800,13/11/2015,"Engenharia, produção e construção",Engenharia civil
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,ENGENHARIA CIVIL,Bacharelado,Presencial,4,-,140,10/11/2017,"Engenharia, produção e construção",Engenharia civil
